21,1,86,

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,  
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0, 
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,
1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, 
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0, 
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, 
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, 
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0, 
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

-8,202,5128,0,

0,175,1,
3,140,2,
0,140,3,
1,140,4,
0,140,5,
3,140,6,
0,140,7,
1,140,8,
0,140,9,
3,140,10,
0,140,11,
1,140,12,
0,35,13,
1,105,14,
2,770,15,
1,105,16,
0,770,17,
1,105,18,
2,770,19,
1,105,20,
0,648,0

0,0,0,
1,8,35,
1,10,35,
2,2,200,
1,22,36,
1,28,37,
1,34,38,
2,7,205,
1,48,39,
0,518,5,
1,61,40,
0,550,6,
1,106,41,
1,147,42,
0,1416,7,
2,47,210,
0,1980,8,
1,375,43,
2,86,215,
1,528,44,
1,610,45,
0,4299,9,
2,162,220,
1,950,46,
1,1075,47,
1,1213,48,
2,282,225,
0,9209,10,
1,1792,49,
1,2005,50,
1,2241,51,
1,2503,52,
1,2793,53,
0,18345,11,
1,3534,54,
2,894,230,
1,4461,55,
1,4962,56,
2,1271,235,
0,35597,12,
2,1593,240,
0,42020,13,
1,9027,57,
1,10024,58,
1,11132,59,
1,12363,60,
0,71797,14,
1,15503,61,
1,17218,62,
1,19125,63,
1,21246,64,
0,122753,15,
1,26635,65,
1,29595,66,
0,165269,16,
1,37101,67,
1,41235,68,
1,45836,69,
2,13832,245,
1,57475,70,
1,63908,71,
0,361216,17,
1,80151,72,
1,89149,73,
1,99174,74,
1,110343,75,
2,35462,250,
1,138462,76,
1,154104,77,
0,892006,18,
1,193425,78,
1,215341,79,
1,239775,80,
0,1366032,19,
1,301081,81,
2,102443,255,
0,1860302,20,
1,426331,82,
1,474908,83,
1,529094,84,
0,2863507,21,
1,664722,85,
0,3474872,22,
1,835222,86,
2,295917,260,
0,4764228,23,

10, 96000,
-56,-59,-58,21,109,68,31,87,109,-102,-7,1,16,-113,121,-86,106,-87,62,-94,-116,-123,54,35,113,29,91,-109,-76,-97,-60,110,
