59,5,116,

0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,
1,1,1,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,
0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,

97,-8,1137,0,
377,-8,507,15,
797,-8,717,25,
1007,237,752,36,
1007,307,1242,41,

1,140,1,
2,35,2,
1,105,3,
2,35,4,
1,175,5,
0,70,6,
1,35,7,
0,105,8,
1,35,9,
0,105,10,
1,35,11,
0,140,12,
3,35,13,
0,35,14,
3,52,0,

1,70,16,
0,35,17,
1,70,18,
0,35,19,
1,70,20,
0,35,21,
1,35,22,
0,35,23,
1,70,24,
1,52,0,

1,105,26,
0,35,27,
1,70,28,
1,35,29,
2,35,30,
1,35,31,
2,105,32,
1,35,33,
2,105,34,
1,35,35,
2,70,24,

2,70,37,
3,35,38,
2,35,39,
3,35,40,
2,70,28,

2,35,42,
1,70,43,
2,35,44,
1,70,45,
2,35,46,
1,70,47,
2,35,48,
1,70,49,
2,35,50,
1,70,51,
2,70,52,
1,35,53,
2,245,54,
3,35,55,
2,35,56,
3,35,57,
2,35,58,
3,105,12,


0,0,0,
1,8,35,
1,10,35,
1,15,35,
1,22,36,
2,4,205,
0,315,5,
1,43,37,
1,49,38,
1,55,39,
1,61,40,
1,98,41,
1,157,42,
2,43,210,
1,307,43,
1,396,44,
1,499,45,
0,5676,6,
1,769,46,
1,929,47,
0,9172,7,
1,1356,48,
0,11827,8,
1,1940,49,
2,505,215,
0,18272,9,
1,3278,50,
1,3838,51,
1,4488,52,
0,33346,10,
2,1427,220,
0,42853,11,
1,8802,53,
2,2337,225,
1,12162,54,
1,14158,55,
2,3812,230,
1,19529,56,
2,5237,235,
1,26917,57,
1,31324,58,
1,36456,59,
1,42437,60,
1,49406,61,
1,57531,62,
2,16709,240,
0,499521,12,
1,93821,63,
1,109278,64,
1,127307,65,
1,148340,66,
1,172883,67,
1,201527,68,
1,234962,69,
2,74370,245,
1,324144,70,
1,378063,71,
1,441033,72,
0,3467526,13,
1,608742,73,
1,710388,74,
0,5330281,14,
1,980850,75,
1,1145027,76,
2,391180,250,
1,1581488,77,
1,1846817,78,
1,2157012,79,
1,2519707,80,
2,888348,255,
1,3482363,81,
2,1219181,260,
1,4813517,82,
1,5625438,83,
2,1980022,265,
1,7778049,84,
0,61829739,15,
2,3216803,270,
1,12723393,85,
1,14875804,86,
1,17394686,87,
0,134262266,16,
1,24063945,88,
1,28145970,89,
2,10236555,275,
0,247429727,17,
1,46071637,90,
0,326995268,18,
1,63759937,91,
0,433484370,19,
1,88249951,92,
1,103270396,93,
1,120861342,94,
0,806348871,20,
1,167341855,95,
1,195890510,96,
0,1271168204,21,
1,271284991,97,
0,1697901508,22,
2,124932642,280,
1,444468198,98,
1,520460756,99,
1,609508259,100,
0,3761745530,23,
1,844444354,101,
1,989119224,102,
2,397817572,285,
1,1370643130,103,
2,547070914,290,
1,1899507782,104,
2,752544876,295,
1,2632679010,105,
1,3084876201,106,
2,1224904839,300,
1,4276343824,107,
1,5011745752,108,

14,134400,

-4,-26,-64,-61,127,-45,11,-101,-35,10,80,95,46,-99,121,21,80,-15,-51,-5,40,110,104,87,-124,-60,124,-93,-117,1,-22,-122,
